,textID,selected_text
432,d7746b6b68,is listening to p!nk tunage and trying to teach my cat to dance to it... i think she`s getting it we can be backing dancers by next tour
433,86c20cf6ee, i sure she can
434,393b22b6c0,"getting ready for work and the sun is shining, plus it`s the w/e! bgt tonight..... what am i gonna do after it`s finished?!"
435,3c03dc0dd0,"this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist"
436,25e2db9995,"listenin to some old school new found glory. hedro, gimi a high school band i can down load. besides home grown...."
437,d17a3a37e1,"kelly kelly pays your bills @ 12:15, kaden pays em @ 5:15 and  just wants you to follow him. lol he dosent get to pay bills"
438,58f1b52257, i want to gooo
439,32489d483d,evryone come here http://www.blogtv.com/people/ginanicole2 were spamming so much and blogtv is glitching and it might work
440,00d907ce33,day.
441,a7f2db128a,ugh
442,d39e6da95c, if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have smap
443,09fea0f3a7,"happy,"
444,31eb8ebd2a, can`t wait to hear the evp! and cuuuute picture.
445,4dda8fd71a,headed to verizon. praying that pinkberry is going to make it.
446,e4d6a48aa7,awaiting reply from two projects. one cancelled.
447,d0b52412b8,coco still out
448,14acfa72dc,lovely
449,c6d6fbb9a6, hello again  how`d ur saturday go?
450,797f9cddc0, why aren`t you showing up as a #spymaster in my screen?
451,4c5672e236,hope
452,d35f126ad0,day
453,efdff6dde7,"got caught in the rain. sand monsoon all the way home, even though i looked like a complete idiot"
454,4dd3339756,misses
455,dd3cd66574,going to bed after the cavs game  don`t judge me lol
456,e83b4e9bf0,jealous.
457,7a27c3a84d,sad
458,19de569235,went twitter crazy! last nigh :p well thats what happens when u got nothin ta do at 2 o`clock in da mornin
459,66f1863628, i want chocolate!
460,3690fcb40e,"http://twitpic.com/4ja8r - tell me, how can you not love someone like this?"
461,bad6311330,better
462,75499e3bd1,fun
463,27d6472b81,nose
464,80995dff29,_by_spork we shall see
465,ca2d9efd4c,excellent
466,12bb670169,good
467,70b4033f03," lmao, im only joking mate"
468,8df42cd45a,luv
469,82bc030c0d,"been busy at work, now must run before traffic is too bad."
470,9d6473d14d,cool
471,146257b271,awesome
472,2fbae49319,#f1 in a few hours guess who is sleepin in the living room
473,b56108fc36,good
474,ed54440a2e,http://twitpic.com/664oz - this is what happens when i have no models
475,c135b2cef2,"i hereby announce that i am... employed! couldn`t be happier, alhamdulillah!"
476,48c3502151,wont
477,5e6040afd3,"speaking,,,speaking ..."
478,3ea60172a0,paid all my bills only to go out to the mailbox to find more of them
479,96e1deb162," i could, but that would require today not to be a duvet day. i imagine that my outfit for the wendyhouse will be photo worthy"
480,819626535b,glad
481,fec3cae0c2,"found a swing set for sale 2 blocks from home, super cheap. i want it 4 my kids but no one is answering the phone # listed"
482,89d9167173,sad
483,dd911923ea, - still a pity it comes with no lamb though
484,4f8c391159, i`ve got cups but you gotta come get them
485,403847cf44,"take that, take that!!!! in your faces!!!!!!!!!!!!  robbie won!"
486,dad1d09bfb,loves
487,56f5217a16,happy
488,4a9ef1f9d8," wow, i really hope it gets better. asthma sucks"
489,5a42a51462,feels ..my cousin is a monkey  http://plurk.com/p/x23pa
490,c5a584d398,"charlie and the chocolate factory, in the mood for some johnny depp, then bed. preparing for a 14 1/2 hour wok day tomorrow"
491,fee936fdc3, wasn`t the 'layers' just absolute positioned divs? web compability killer
492,2813c4cf7e,hate
493,2246ed3d84,loves
494,1b1243d0b5,hopefully
495,09042bf466,better
496,40e3087f9c,wish
497,ad94e8b662, hi heather. i dont know why... but i just saw your messages from april!! have not been very twitter friendly...
498,fc0b053a31, i can`t belive you only have one episode to go  ****
499,9f2a0b0b2f, you can also watch family guy online. www.fancast.com  and yes i am a total shill.
500,7516f86838, i know right  poorpoor girl! it shows why they shouldn`t put young people in competitions like this though (.....) -
501,2492330594,not excited for 32 people reservation in the morning  **** lovin halo3 right now for sure too
502,9aa7d6a58a," wowie wooie someone updated their twitter without me having to remind you. i`m not even mad,i`m impressed.  how was the lasagna ?"
503,083e4f782b,good
504,ba5e02305b,sad...
505,9f4bb12e13,sick
506,7a01848c2e,_collins i`m not sure i understand how this twitter thing works...
507,ae285917c7,wat a stressful week i jus hope everything falls into place 4me
508,5575fdaf3c,with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow
509,af3fbd5681,day
510,db7211afbf," for sure you should continue to tweet while on conf call, while worrying about cat and bee."
511,23602f214f,"lol! made a huge mess of my school shirt, was using charcoal sticks in 2d art"
512,c3459bc0bb, when will she b finished
513,f02eed05d0,bgt
514,ff7126ea72,"gawww, why is facebook being so slow?"
515,567ef8c2ed,cool
516,d50a4dc3bf,bird poo update... managed to clean it all off but some slight stainage remains  any tips?
517,d6bd94911e,happy
518,23bf2d69d2,i day til nyc!!!! and the journey soon begins!!! music baby
519,a6623df1a6,love
520,34409c9b8a,love
521,6a36ea6690," if i say please reply to me dougie, will you do it? i double dare you"
522,c5ec3e9e37, i`m not either. we should have went out *snicker* although i am enjoying listening to rr and my beer
523,e74d67a818, hey esmee. how u doing?
524,b09824d000," muahahahhahaha...   well, maybe they think i`m crazy or something. i haven`t scared  yet though"
525,3af70d3bc2," nope..not drunk..sometimes i think maybe i should..then maybe twitter would make sense, ya know!"
526,5e5cb6d0a9,today got her pop! t-shirt & lovess ittt  haha x
527,0db9bf3e1f, epicentre wheelock place - tourists only..
528,4de0e1bb73,best
529,9a6736745f, yayy  you`ll can help me im doing my english homeworks which i had to do during the holidays >.<
530,8d40f9e62d,love
531,727e51734b," think you should do a tour in england, we dont got to see any aweomse people !!"
532,db23b82d03,'puke in my mouth' the brilliant response to **** in my pants  http://tinyurl.com/cy8z7y  over the top wrong
533,e03a74beca,"good morning. haha i just read that the swine flu probably not come`s from pigs at all, but from people! poor pigs who got all the blame!"
534,80b171ef7a,bummed
535,d49d1b7de1,sorry
536,4809e143db,(good
537,0edb544179,"having the flu, not the swinish-one, but the flu."
538,c50f940f43,isn`t
539,9a27ba671e, you should see our floors before you make that offer.  let me know if you don`t receive a call soon.
540,27c4e1f089,"    i am sending healthy, healing thoughts in the mumborg`s direction."
541,9965c5a810,good
542,4f6d52cbd8,prayers for my family and my dog - mozart is being put down this afternoon.   pics of him at http://tinyurl.com/mozartdog
